Name,Date,Year,Location,Country,Role,Selected
IMPRS Course - Linux and Scripting For Biologists,April,2015,"MPI-MP, Potsdam-Golm",Germany,Teacher,1
IMPRS - Comparative Genomics Workshop,November 24,2014,"MPI-MP, Potsdam-Golm",Germany,Trainer,0
PSB PLAZA 3.0 Workshop,September 29,2014,PSB/VIB Ghent,Belgium,Trainer,0
Vibes 2014 - 4th International VIB PhD Symposium,September 17-19,2014,Antwerpen,Belgium,No active contribution,0
AllBio Tutorial: New methods in genome annotation,July 10-11,2014,Berlin,Germany,Trainer,0
AllBio Tutorial: Comparative genome annotation methods,April 29-30,2014,Potsdam,Germany,Trainer,0
PSB/VIB Guest Scientist,November 15 - December 23,2013,PSB/VIB Ghent,Belgium,Guest Scientist,0
Black Forest Summer School,September 10-13,2013,Herzogenhorn,Germany,Trainer,1
Plants & People,June 18-19,2013,"MPI-MP,Potsdam-Golm",Germany,Poster presentation,0
IMPRS - PLAZA Workshop,"April 22 ,25",2013,"MPI-MP, Potsdam-Golm",Germany,Trainer,0
Bioinformatics Affinity Seminar,March 6,2013,"MPI-MP, Potsdam-Golm",Germany,Guest Speaker,0
AllBio Course on Data Resources and Tools for Plant-Omics,February 18-22,2013,"EBI-Hinxton, Cambridgeshire",United Kingdom,Trainer,1
FU Berlin - PLAZA Workshop,March 4,2013,"FU Berlin, Berlin",Germany,Trainer,0
Vibes 2012 - 3th International VIB PhD Symposium,September 5-7,2012,Gent,Belgium,Organizing committee,0
"VIB Seminar, PhD Student Day",April 18,2012,Blankenberge,Belgium,Chair Bioinformatics & Systems Biology Session,1
Bioinformatics Affinity Seminar,February 8,2012,"MPI-MP, Potsdam-Golm",Germany,Guest Speaker,0
Plant Genome Evolution,September 4-6,2011,Amsterdam,The Netherlands,Poster presentation and software demonstration,1
GMPF Summer School 2011: Introduction to Bioinformatics,June 28 - July 1,2011,"IASMA, San Michele all'Adige",Italy,Invited speaker,1
Comparative & Regulatory Genomics in Plants - Workshop,April 13-15,2011,"UGent, Gent",Belgium,"Organizing committee, lecturer",0
Comparative & Regulatory Genomics in Plants - Conference,April 11-12,2011,"PSB/VIB, Gent",Belgium,"Organizing committee, oral presentation and poster presentation",1
BioMaGNet's Annual Meeting,March 21,2011,"ULB Campus Plaine, Brussels",Belgium,Poster presentation,0
Vibes 2010 - 2nd International VIB PhD Symposium,October 14-15,2010,Leuven,Belgium,No active contribution,0
9th European Conference on Computational Biology (ECCB2010),September 26-29,2010,Ghent,Belgium,Poster presentation,0
First European Student Council Symposium (ESCS1),September 26,2010,Ghent,Belgium,Poster presentation,0
Brassicacea Map Alignment Project - 2nd BMAP meeting,March 22,2010,"Max Planck Institute, Tuebingen",Germany,Oral presentation,0
BioMaGNet's Annual Meeting,October 22,2009,"VIB-Ghent University, Ghent",Belgium,Oral presentation and poster presentation,0
6th Annual RECOMB Satellite Meeting on Comparative Genomics,October 13-15,2008,"Ecole Normale Superieure, Paris",France,Poster presentation,0
Benelux Bioinformatics Conference 2007,November 12-13,2007,Leuven,Belgium,No active contribution,0
